Year,Tool_Name,Industry,Purpose,Region,Users_Count,Daily_Usage_Hours,Productivity_Gain_Percent,Satisfaction_Level
2024,Jasper AI,Software Development,Meeting Notes,Oceania,136028,0.6,41.2,2
2025,Synthesia,Software Development,Coding,Europe,107219,1.76,33.9,1
2021,QuillBot,Finance,Presentations,Oceania,62421,0.35,12.1,2
2025,Otter.ai,E-commerce,Image Generation,Europe,68430,3.12,24.6,1
2025,GrammarlyGO,Design,Research,Europe,9283,3.57,57.0,5
2022,Looka AI,Software Development,Image Generation,Europe,52990,1.44,64.2,5
2023,GrammarlyGO,E-commerce,Research,Oceania,80568,0.97,36.4,4
2025,DeepL Write,Healthcare,Meeting Notes,Asia,127101,2.93,8.6,1
2023,Phind,Healthcare,Content Writing,Europe,108320,1.83,37.5,3
2021,Fireflies.ai,Finance,Data Analysis,Oceania,74584,0.46,12.5,5
2024,Gamma AI,Education,Data Analysis,Africa,61540,2.17,15.6,1
2024,Pictory,Marketing,Content Writing,North America,135930,4.06,19.4,5
2024,QuillBot,Healthcare,Design,Europe,101225,1.09,14.0,4
2025,ChatGPT,E-commerce,Presentations,Asia,123980,0.45,61.4,3
2024,Tome AI,Finance,Content Writing,South America,109739,0.54,38.9,2
2023,Tome AI,Finance,Research,Asia,102946,3.66,53.7,3
2023,Looka AI,Healthcare,Content Writing,South America,93804,1.9,54.4,1
2024,Stable Diffusion,Healthcare,Data Analysis,Europe,121521,2.43,44.7,4
2024,Perplexity AI,Media,Data Analysis,North America,87927,2.77,49.7,5
2024,Stable Diffusion,E-commerce,Design,South America,62457,4.4,20.5,1
2024,Perplexity AI,Design,Presentations,Oceania,67483,4.89,27.2,3
2022,Copy.ai,Software Development,Meeting Notes,North America,97685,3.4,36.4,5
2021,Runway ML,Education,Image Generation,South America,64788,2.91,49.0,1
2022,DALL-E,Marketing,Meeting Notes,Asia,83140,1.24,46.8,3
2024,Claude,E-commerce,Design,North America,85600,0.64,9.7,1
2025,Looka AI,Software Development,Image Generation,Oceania,74278,4.38,49.4,3
2022,Tabnine,Finance,Design,Europe,31942,3.79,32.3,4
2021,Beautiful.ai,Software Development,Image Generation,Asia,45227,4.94,10.3,2
2025,Tome AI,E-commerce,Coding,South America,38068,4.38,41.0,2
2025,Beautiful.ai,Marketing,Presentations,Europe,132517,2.59,57.8,2
2022,Stable Diffusion,Design,Research,Oceania,68233,4.53,32.0,3
2025,Tabnine,Media,Meeting Notes,Africa,101569,4.59,20.0,1
2021,DALL-E,Marketing,Design,South America,34708,3.23,44.0,3
2022,Otter.ai,Marketing,Design,South America,63233,3.66,59.8,3
2022,Fireflies.ai,E-commerce,Content Writing,Africa,93874,1.14,21.5,2
2022,Canva Magic Write,Media,Meeting Notes,Europe,81233,1.46,57.6,3
2024,Adobe Firefly,E-commerce,Coding,Oceania,117181,2.39,37.3,4
2021,Cursor AI,Software Development,Image Generation,Asia,116462,1.07,30.3,2
2024,Claude,E-commerce,Meeting Notes,South America,29808,4.86,22.7,3
2024,Wordtune,Healthcare,Design,Africa,43159,3.94,15.5,5
2022,Phind,Healthcare,Research,North America,116824,4.86,33.9,2
2021,Durable AI,Media,Design,Asia,84304,1.88,55.2,4
2021,ChatGPT,Finance,Design,North America,43510,2.33,22.2,3
2022,Pictory,Healthcare,Meeting Notes,North America,127022,1.09,17.6,2
2022,GrammarlyGO,Design,Presentations,South America,107506,0.47,50.0,2
2024,Tome AI,Healthcare,Presentations,North America,72350,4.27,53.9,2
2023,Replit Ghostwriter,Software Development,Image Generation,South America,144302,3.05,57.5,5
2021,Wordtune,Healthcare,Meeting Notes,Europe,74228,1.57,11.3,1
2024,Stable Diffusion,Finance,Research,Asia,76109,2.8,61.4,2
2025,DeepL Write,Education,Research,Africa,103979,1.79,36.9,3
2024,Writesonic,Healthcare,Image Generation,Africa,79578,0.5,16.5,4
2022,Copy.ai,Software Development,Image Generation,Europe,109489,2.44,37.4,4
2023,ChatGPT,Media,Meeting Notes,North America,92394,2.6,46.0,4
2021,GrammarlyGO,Software Development,Design,Africa,115245,1.25,46.4,5
2021,Fireflies.ai,Software Development,Coding,South America,50802,4.86,13.4,2
2023,Stable Diffusion,Design,Content Writing,Asia,63286,4.38,18.1,1
2022,Replit Ghostwriter,Marketing,Coding,Europe,139420,3.56,55.8,2
2024,Murf AI,Healthcare,Data Analysis,Europe,86512,2.64,43.2,2
2025,GitHub Copilot,Education,Content Writing,Oceania,92948,4.38,40.5,1
2021,Beautiful.ai,Marketing,Image Generation,North America,115165,1.31,45.6,3
2023,Notion AI,Finance,Design,Europe,117610,2.15,45.1,3
2023,Fireflies.ai,Finance,Research,Asia,91079,5.0,10.7,5
2022,Tabnine,Software Development,Design,Africa,59371,4.89,31.2,3
2024,Pictory,Marketing,Coding,South America,91640,2.96,50.1,2
2022,Wordtune,Finance,Coding,North America,94657,4.43,31.0,3
2021,Replit Ghostwriter,Media,Research,Europe,117684,4.1,51.5,4
2022,Murf AI,Healthcare,Design,Europe,45171,4.05,32.8,1
2025,Gamma AI,Healthcare,Design,North America,77498,2.86,8.3,5
2024,Midjourney,Finance,Meeting Notes,Africa,85767,1.83,28.9,5
2024,GitHub Copilot,Media,Meeting Notes,Asia,129835,2.13,33.6,3
2025,Phind,Education,Meeting Notes,North America,56591,1.42,29.3,5
2021,Codeium,Design,Research,Oceania,131260,3.21,34.4,1
2024,Otter.ai,Design,Image Generation,Oceania,112294,2.08,57.2,2
2022,Descript,Education,Meeting Notes,Africa,7017,0.42,27.5,5
2022,DALL-E,Education,Meeting Notes,Europe,150728,2.09,30.7,5
2024,Canva Magic Write,Education,Data Analysis,Europe,112677,3.16,51.6,3
2024,GrammarlyGO,Design,Presentations,Europe,155192,4.12,48.9,3
2024,Claude,Education,Content Writing,South America,104767,1.44,60.8,5
2021,Cursor AI,Education,Meeting Notes,Africa,90435,0.58,61.3,4
2023,GrammarlyGO,Education,Research,North America,59381,2.58,22.6,5
2023,Descript,Media,Coding,Asia,73579,1.64,25.5,1
2021,QuillBot,E-commerce,Image Generation,North America,87396,1.76,42.8,3
2024,ChatGPT,Marketing,Design,Africa,123760,3.67,23.5,5
2022,ChatGPT,Healthcare,Meeting Notes,Asia,52525,1.15,46.8,2
2024,Canva Magic Write,Media,Presentations,Europe,75261,1.15,37.9,4
2021,GrammarlyGO,Design,Content Writing,Africa,63958,2.97,22.6,5
2021,Claude,Healthcare,Presentations,Oceania,91593,4.83,35.6,5
2022,Notion AI,Education,Image Generation,Asia,88717,0.5,44.1,5
2023,Murf AI,Marketing,Data Analysis,Asia,122924,4.77,42.3,4
2023,Replit Ghostwriter,Education,Data Analysis,Oceania,83465,1.37,20.1,4
2022,ChatGPT,Finance,Meeting Notes,South America,83217,3.17,31.4,5
2024,QuillBot,Healthcare,Image Generation,Oceania,44684,3.97,23.7,3
2025,Jasper AI,Healthcare,Coding,Oceania,61212,4.17,32.2,5
2025,Durable AI,E-commerce,Meeting Notes,Asia,61795,3.23,33.8,5
2021,GrammarlyGO,Marketing,Meeting Notes,Europe,90369,3.06,17.6,5
2022,QuillBot,E-commerce,Image Generation,North America,101013,1.32,13.5,5
2024,DALL-E,Media,Meeting Notes,Africa,94413,0.41,44.6,3
2022,Tabnine,Healthcare,Meeting Notes,North America,110916,1.39,30.3,1
2022,Adobe Firefly,Healthcare,Image Generation,South America,148315,3.09,36.3,3
2022,Google Gemini,Design,Data Analysis,Oceania,57889,2.31,48.9,3
2024,Perplexity AI,E-commerce,Data Analysis,Europe,131173,3.55,64.5,1
2021,GitHub Copilot,E-commerce,Content Writing,Oceania,99069,1.59,12.5,4
2022,Midjourney,E-commerce,Content Writing,Oceania,130851,0.7,59.0,2
2021,Midjourney,Marketing,Image Generation,Europe,64549,1.37,28.2,1
2024,Looka AI,Marketing,Data Analysis,North America,51557,0.63,37.6,1
2024,Midjourney,Marketing,Research,Asia,89013,4.44,45.1,3
2022,Perplexity AI,Marketing,Coding,North America,35323,2.8,26.5,5
2021,Claude,Software Development,Data Analysis,Asia,118830,4.97,45.7,4
2023,Writesonic,Marketing,Research,Asia,45710,2.92,49.6,4
2024,Durable AI,Marketing,Research,Oceania,60849,2.94,62.6,2
2023,Tabnine,Healthcare,Coding,Europe,80326,1.12,47.3,3
2021,Wordtune,Healthcare,Data Analysis,South America,87080,0.75,33.7,2
2025,Pictory,Finance,Data Analysis,South America,39588,3.85,27.8,4
2021,Looka AI,Media,Meeting Notes,North America,114739,4.66,21.4,5
2025,Beautiful.ai,Marketing,Research,Oceania,100274,2.18,16.7,4
2024,Runway ML,Marketing,Content Writing,Europe,118392,2.75,43.5,2
2021,DALL-E,Healthcare,Coding,North America,86251,0.72,51.1,5
2021,DeepL Write,Media,Image Generation,Asia,86006,3.98,48.4,1
2025,Murf AI,Education,Presentations,Europe,77425,0.47,25.3,2
2023,Murf AI,Software Development,Research,North America,58420,0.71,61.4,2
2022,Phind,Finance,Research,Africa,42063,2.9,25.4,5
2024,Descript,Education,Research,North America,48899,3.12,37.4,4
2022,Replit Ghostwriter,Media,Content Writing,Asia,17413,4.62,36.3,5
2021,ChatGPT,Healthcare,Research,Oceania,84454,2.09,58.0,1
2022,Runway ML,Software Development,Coding,Oceania,79033,4.38,53.9,2
2025,Phind,Finance,Research,Oceania,61957,0.68,31.0,5
2021,Tabnine,Marketing,Content Writing,Asia,111761,1.12,47.6,3
2023,Perplexity AI,Healthcare,Coding,South America,82845,3.31,54.9,4
2023,Durable AI,Education,Design,South America,81726,0.92,57.1,2
2025,Cursor AI,Media,Presentations,Asia,81249,3.15,51.6,2
2021,Wordtune,Finance,Coding,Asia,106532,1.12,36.6,4
2023,Murf AI,Media,Design,Europe,50046,2.03,11.9,4
2025,Adobe Firefly,Education,Coding,Oceania,72843,0.42,15.7,2
2023,Gamma AI,Healthcare,Presentations,Oceania,83699,4.84,32.7,2
2021,Runway ML,Healthcare,Presentations,Oceania,97890,1.77,36.9,2
2024,QuillBot,Education,Data Analysis,North America,53819,3.31,20.3,3
2022,Claude,Finance,Design,North America,77677,3.21,45.1,2
2023,Copy.ai,Media,Image Generation,South America,75596,0.57,64.7,2
2024,Cursor AI,Design,Design,Europe,126721,0.57,47.6,5
2025,Writesonic,Marketing,Data Analysis,Asia,63597,3.55,11.6,1
2024,Tabnine,Healthcare,Meeting Notes,Africa,72925,2.69,64.8,5
2022,Copy.ai,Finance,Design,Oceania,95108,1.74,43.6,4
2023,Perplexity AI,Software Development,Content Writing,Europe,117719,2.78,32.3,5
2025,Cursor AI,Education,Meeting Notes,Africa,40993,2.03,31.6,1
2022,DALL-E,Education,Research,Africa,75257,4.19,49.8,1
2025,Claude,Healthcare,Image Generation,Oceania,64704,0.39,22.8,2
2022,Synthesia,Healthcare,Research,Europe,4268,3.87,15.8,5
2024,Perplexity AI,Media,Meeting Notes,Africa,37632,0.36,21.7,3
2022,Tabnine,E-commerce,Image Generation,South America,87500,4.89,53.7,3
2021,Notion AI,Design,Data Analysis,Africa,81540,0.82,39.2,1
2024,Otter.ai,Finance,Design,Asia,99378,2.44,56.1,2
2025,Google Gemini,Marketing,Research,Asia,81180,1.01,26.5,2
2021,Copy.ai,Design,Image Generation,Europe,54001,3.77,35.1,5
2023,Durable AI,Marketing,Design,Africa,40842,2.46,52.7,2
2023,Fireflies.ai,Media,Research,South America,33593,4.49,62.5,1
2025,Stable Diffusion,Education,Design,Europe,61927,3.53,32.9,1
2025,Jasper AI,Software Development,Design,South America,113197,1.5,55.9,1
2022,Looka AI,Software Development,Content Writing,Asia,146719,3.4,59.0,5
2024,Phind,Software Development,Meeting Notes,North America,63828,3.29,43.0,1
2022,Google Gemini,Design,Coding,Asia,82960,1.01,50.0,5
2024,Stable Diffusion,Marketing,Presentations,Europe,59397,2.71,46.8,5
2025,Phind,E-commerce,Image Generation,Europe,71040,0.63,8.7,2
2021,GrammarlyGO,Education,Image Generation,Europe,87540,4.8,50.0,2
2023,GitHub Copilot,Healthcare,Data Analysis,Africa,41586,1.94,52.2,2
2022,Replit Ghostwriter,Design,Design,South America,52851,3.41,18.6,3
2023,Runway ML,Marketing,Coding,South America,117571,1.55,9.2,3
2023,Phind,Finance,Image Generation,North America,103568,0.69,63.2,5
2022,Copy.ai,Marketing,Presentations,Africa,111881,3.24,29.8,3
2022,Synthesia,Education,Presentations,Asia,59296,1.27,14.9,1
2024,DALL-E,Media,Design,Europe,121845,3.33,38.2,4
2023,DALL-E,Design,Data Analysis,South America,98686,0.5,63.2,3
2021,DALL-E,E-commerce,Coding,South America,62694,4.91,42.3,1
2021,Cursor AI,Media,Image Generation,Europe,109835,3.04,50.6,1
2021,Phind,Media,Data Analysis,Africa,98148,0.9,27.3,2
2024,DALL-E,Finance,Presentations,Oceania,114175,4.66,20.8,3
2024,Stable Diffusion,Software Development,Data Analysis,Asia,50655,2.37,42.9,4
2021,Tome AI,Education,Design,Oceania,23009,4.73,21.7,4
2023,Beautiful.ai,Media,Data Analysis,South America,75362,4.47,44.8,5
2025,Fireflies.ai,E-commerce,Presentations,Africa,73695,1.64,54.5,1
2023,Pictory,Marketing,Design,North America,76986,3.85,34.3,4
2022,Looka AI,Marketing,Coding,South America,90477,4.26,49.5,2
2022,Pictory,E-commerce,Meeting Notes,North America,101886,1.13,39.1,3
2025,Otter.ai,Education,Content Writing,Oceania,117204,4.93,61.4,4
2023,Durable AI,E-commerce,Meeting Notes,Africa,93990,4.14,20.2,5
2023,Writesonic,Education,Image Generation,Asia,62459,2.68,55.9,3
2022,Synthesia,Education,Content Writing,Europe,91264,3.07,37.0,3
2023,GrammarlyGO,Finance,Meeting Notes,South America,133066,1.7,40.2,2
2025,DALL-E,Software Development,Research,Asia,104600,3.29,51.4,4
2021,Copy.ai,Media,Content Writing,North America,93434,1.05,34.3,3
2023,Replit Ghostwriter,Media,Design,North America,75729,4.06,19.6,5
2022,GrammarlyGO,Education,Data Analysis,South America,56484,2.91,49.8,4
2025,Runway ML,Healthcare,Coding,Africa,46123,1.97,52.7,1
2023,Copy.ai,Software Development,Meeting Notes,Asia,95338,2.9,8.3,4
2025,Canva Magic Write,Media,Content Writing,North America,58453,4.8,29.0,2
2025,Phind,Education,Coding,Europe,101448,1.84,16.5,5
2024,Gamma AI,E-commerce,Content Writing,South America,103671,4.98,29.0,5
2025,ChatGPT,Healthcare,Coding,Asia,70815,2.41,49.2,1
2024,Cursor AI,Finance,Presentations,Africa,88740,2.14,31.5,3
2022,Google Gemini,Media,Data Analysis,Asia,109977,3.57,8.2,3
2025,Jasper AI,Finance,Data Analysis,Asia,36230,4.03,13.3,5
2025,Synthesia,E-commerce,Presentations,South America,119877,3.06,35.4,4
2022,Canva Magic Write,Education,Image Generation,Europe,65072,3.03,40.0,5
2021,Google Gemini,Software Development,Presentations,Oceania,87536,2.94,42.4,5
2021,Otter.ai,Education,Coding,Africa,112721,1.57,55.0,4
2022,Adobe Firefly,Media,Presentations,South America,99775,2.64,12.4,5
2021,Copy.ai,Design,Design,Asia,76894,3.99,48.3,4
2021,Jasper AI,E-commerce,Coding,Europe,68403,4.01,37.5,4
2023,GrammarlyGO,Marketing,Meeting Notes,Europe,47749,1.84,32.7,5
2022,Midjourney,Finance,Research,Oceania,76190,0.72,20.6,5
2025,GitHub Copilot,Software Development,Research,North America,127403,4.99,61.2,2
2022,Pictory,Finance,Coding,Europe,100924,3.32,32.0,1
2021,Synthesia,Healthcare,Coding,North America,118631,0.86,31.4,4
2024,Runway ML,E-commerce,Coding,South America,99462,4.25,29.9,1
2021,Perplexity AI,E-commerce,Design,Asia,138537,1.17,28.6,1
2023,Stable Diffusion,Healthcare,Content Writing,Africa,128297,1.87,9.5,4
2021,Runway ML,Education,Data Analysis,Africa,86226,1.7,61.6,4
2021,Phind,Finance,Coding,North America,28946,1.52,32.5,5
2023,Copy.ai,Media,Coding,Oceania,97408,2.45,35.5,1
2023,Copy.ai,Education,Design,Europe,66018,0.93,12.6,4
2023,Fireflies.ai,Design,Research,Africa,81174,2.35,49.6,4
2022,Writesonic,Software Development,Presentations,Asia,135167,3.9,17.1,2
2025,Perplexity AI,Finance,Coding,Africa,52048,3.83,45.4,4
2023,GrammarlyGO,Healthcare,Design,South America,91053,4.8,11.9,4
2023,Runway ML,Finance,Content Writing,South America,78995,1.53,22.1,5
2025,Beautiful.ai,Marketing,Design,Europe,75889,4.56,22.2,3
2022,Runway ML,Healthcare,Design,Asia,109407,2.41,52.3,1
2021,Adobe Firefly,E-commerce,Meeting Notes,Africa,57904,0.61,35.8,5
2025,Claude,Healthcare,Image Generation,Asia,9272,1.93,59.3,3
2024,Perplexity AI,Education,Presentations,Europe,108521,0.4,45.8,1
2022,Murf AI,Media,Design,Oceania,84009,4.7,11.0,5
2024,Gamma AI,Design,Data Analysis,Asia,97478,2.27,22.8,5
2023,Stable Diffusion,Finance,Research,Asia,105827,1.23,40.2,4
2022,Adobe Firefly,Software Development,Image Generation,Oceania,44371,2.48,63.4,5
2024,Codeium,Media,Coding,Asia,33546,0.84,16.6,5
2025,DALL-E,Marketing,Image Generation,Asia,116942,1.36,22.3,3
2024,Codeium,Finance,Meeting Notes,Oceania,88017,2.76,14.5,5
2021,Tabnine,Education,Content Writing,Africa,116459,4.34,49.2,1
2022,Perplexity AI,E-commerce,Image Generation,Africa,87293,2.85,12.7,1
2021,GrammarlyGO,Marketing,Presentations,Asia,70989,2.45,35.6,5
2024,Google Gemini,Software Development,Design,Europe,95096,2.47,31.5,2
2023,Google Gemini,Marketing,Design,Oceania,109118,3.36,39.1,4
2022,Cursor AI,Marketing,Data Analysis,Asia,82623,4.09,34.2,4
2021,Canva Magic Write,Healthcare,Meeting Notes,Oceania,60159,0.54,52.8,2
2024,Replit Ghostwriter,Media,Image Generation,Africa,62621,1.07,26.8,4
2022,Codeium,Finance,Coding,North America,58024,3.86,37.6,5
2025,Writesonic,Healthcare,Design,South America,91692,4.43,57.6,2
2023,Beautiful.ai,Finance,Design,Africa,74429,1.42,33.7,2
2022,Jasper AI,Design,Presentations,Asia,108493,2.83,36.4,2
2025,Phind,Healthcare,Coding,South America,79664,0.8,45.4,3
2022,Canva Magic Write,Software Development,Content Writing,Asia,69209,3.95,63.0,2
2023,Stable Diffusion,Media,Meeting Notes,Asia,116453,1.26,37.8,1
2025,Copy.ai,Healthcare,Meeting Notes,Asia,109576,3.01,44.2,5
2024,Jasper AI,Software Development,Meeting Notes,Europe,61955,4.05,30.6,2
2025,Descript,Software Development,Data Analysis,Europe,84035,1.04,47.7,5
2025,Google Gemini,Software Development,Image Generation,Oceania,107583,4.03,26.1,4
2022,Gamma AI,Finance,Image Generation,Oceania,71956,1.17,59.0,2
2021,Synthesia,Media,Content Writing,Asia,69890,3.38,16.7,2
2021,GitHub Copilot,Healthcare,Research,South America,143875,0.69,58.3,5
2023,GrammarlyGO,Healthcare,Presentations,South America,49974,4.08,36.8,3
2024,Fireflies.ai,Healthcare,Data Analysis,Asia,79610,4.93,46.1,4
2023,Otter.ai,E-commerce,Coding,North America,95571,3.28,17.5,5
2024,Copy.ai,Marketing,Data Analysis,Asia,76385,1.06,8.7,4
2021,Codeium,Education,Coding,Asia,111571,2.93,38.1,1
2021,Adobe Firefly,Design,Research,Asia,99388,0.67,49.7,1
2021,DeepL Write,Healthcare,Coding,Asia,91773,1.18,56.9,3
2024,Looka AI,Marketing,Design,Asia,87053,3.64,25.9,2
2021,Adobe Firefly,Finance,Presentations,Africa,121527,2.51,54.8,1
2021,Adobe Firefly,E-commerce,Presentations,Oceania,18344,2.62,55.2,5
2024,Gamma AI,Media,Coding,Asia,63765,1.88,17.9,2
2024,Looka AI,Marketing,Meeting Notes,South America,107218,0.77,21.7,1
2022,Descript,Healthcare,Image Generation,Oceania,98402,0.97,27.8,5
2025,Perplexity AI,E-commerce,Meeting Notes,Asia,130461,3.36,43.4,2
2025,Canva Magic Write,Software Development,Meeting Notes,Asia,72330,1.96,56.0,3
2025,ChatGPT,Healthcare,Coding,South America,94111,3.28,15.2,2
2022,Notion AI,E-commerce,Design,Oceania,81274,3.48,26.5,3
2023,GrammarlyGO,Software Development,Presentations,Europe,68061,1.12,56.8,1
2022,Google Gemini,Software Development,Research,Africa,88034,1.37,55.7,5
2022,Gamma AI,Media,Presentations,Oceania,108138,3.56,37.2,1
2022,Canva Magic Write,Healthcare,Meeting Notes,Europe,41620,1.73,20.1,1
2024,DeepL Write,Software Development,Data Analysis,Oceania,97417,4.39,51.7,1
2024,Tabnine,Design,Meeting Notes,Africa,87387,4.01,45.9,3
2024,Murf AI,Finance,Data Analysis,Asia,94294,3.45,39.9,2
2024,GrammarlyGO,Software Development,Data Analysis,Asia,74762,0.82,33.5,5
2022,Stable Diffusion,Healthcare,Meeting Notes,Oceania,115212,2.87,29.7,5
2022,Copy.ai,Design,Presentations,Asia,78388,4.89,14.3,1
2022,Fireflies.ai,Media,Meeting Notes,Europe,65940,3.78,60.3,5
2022,Canva Magic Write,Education,Presentations,South America,79284,1.62,56.9,2
2023,Writesonic,Media,Presentations,Europe,97393,3.84,53.9,5
2024,ChatGPT,Education,Research,South America,74213,0.38,62.9,5
2021,Descript,Marketing,Design,Oceania,53936,4.2,24.0,5
2024,Replit Ghostwriter,Marketing,Data Analysis,South America,114579,4.4,14.4,2
2023,ChatGPT,Marketing,Content Writing,North America,93018,0.75,21.8,5
2024,ChatGPT,Design,Research,Africa,137145,0.36,34.7,3
2023,Pictory,Software Development,Content Writing,Europe,105998,1.7,25.1,5
2022,Looka AI,Media,Presentations,Europe,33510,3.79,10.7,2
2023,Looka AI,Healthcare,Content Writing,North America,110509,4.49,18.6,1
2021,Tome AI,Media,Image Generation,Oceania,133318,0.67,21.7,4
2023,Notion AI,Marketing,Image Generation,Europe,84101,0.6,55.4,3
2022,Descript,Design,Image Generation,South America,116856,3.12,14.6,3
2021,Otter.ai,Education,Image Generation,Oceania,111255,4.43,40.6,1
2025,Claude,Education,Image Generation,Asia,97032,2.73,32.5,2
2022,Jasper AI,Media,Coding,North America,62377,3.94,42.3,3
2021,Perplexity AI,Software Development,Research,Africa,27081,4.49,33.3,1
2025,Notion AI,Software Development,Meeting Notes,Asia,130368,3.08,48.1,2
2024,Writesonic,Marketing,Presentations,South America,121447,1.42,37.2,1
2025,Phind,E-commerce,Coding,South America,74618,2.59,45.2,3
2025,Jasper AI,Software Development,Design,North America,56702,4.77,42.2,1
2023,Google Gemini,Software Development,Research,Oceania,83308,3.28,12.0,4
2022,GitHub Copilot,Design,Image Generation,Oceania,132851,1.5,28.6,2
2024,Tome AI,Media,Meeting Notes,Oceania,63646,0.96,23.8,1
2021,ChatGPT,Marketing,Content Writing,Africa,80888,4.87,26.9,3
2025,Google Gemini,Education,Meeting Notes,South America,39810,3.17,24.0,2
2024,Google Gemini,Marketing,Coding,South America,79506,1.27,37.4,1
2023,GitHub Copilot,Healthcare,Data Analysis,Africa,72723,4.07,40.6,1
2025,DALL-E,E-commerce,Meeting Notes,North America,59435,2.71,24.7,5
2025,Phind,Marketing,Data Analysis,Oceania,77196,0.71,43.2,1
2022,GrammarlyGO,Education,Data Analysis,South America,102140,0.84,27.7,4
2025,Notion AI,Software Development,Coding,Oceania,114280,2.62,48.0,2
2022,Looka AI,Marketing,Presentations,Oceania,82639,4.97,15.5,4
2024,Cursor AI,Marketing,Research,Africa,60747,2.28,31.4,4
2024,Stable Diffusion,Software Development,Image Generation,Europe,36588,4.57,48.7,2
2022,Synthesia,Education,Design,Europe,34564,4.17,62.4,2
2025,ChatGPT,Media,Research,Europe,108851,4.16,8.1,2
2021,Replit Ghostwriter,Healthcare,Image Generation,Europe,67508,1.51,11.4,4
2023,Runway ML,Marketing,Meeting Notes,Africa,86403,3.14,47.1,3
2023,Pictory,Software Development,Research,Africa,73944,2.44,29.0,2
2022,Replit Ghostwriter,Marketing,Meeting Notes,South America,55264,0.87,31.9,4
2025,ChatGPT,Marketing,Meeting Notes,Europe,78062,0.68,28.2,1
2025,Runway ML,Media,Image Generation,Africa,84305,4.73,46.1,1
2022,Canva Magic Write,Design,Research,North America,49288,3.09,8.6,2
2021,Beautiful.ai,Finance,Design,South America,124327,3.29,60.1,2
2021,Murf AI,Design,Presentations,Oceania,110594,3.7,14.9,2
2021,Durable AI,Education,Design,Europe,90613,4.54,11.8,3
2023,Synthesia,Software Development,Content Writing,Europe,47688,0.36,32.1,4
2022,Tabnine,Marketing,Presentations,Africa,85256,1.69,35.7,1
2025,Codeium,Healthcare,Presentations,Asia,65538,0.88,39.8,3
2023,ChatGPT,E-commerce,Research,North America,84785,1.91,49.6,2
2023,Pictory,Marketing,Content Writing,North America,111083,3.55,32.5,4
2025,Writesonic,Software Development,Image Generation,Europe,94815,3.46,23.7,4
2021,Notion AI,Marketing,Design,Asia,112017,2.4,53.5,5
2022,Durable AI,Design,Image Generation,Asia,61881,4.17,56.9,4
2021,DeepL Write,Software Development,Research,Oceania,77970,1.8,41.2,1
2021,Phind,Finance,Data Analysis,North America,106324,2.04,42.3,2
2021,GitHub Copilot,Software Development,Content Writing,South America,112976,2.06,17.5,1
2022,Writesonic,E-commerce,Presentations,North America,115801,2.32,16.1,1
2025,Wordtune,Media,Image Generation,Oceania,72758,1.03,9.5,4
2021,Looka AI,Design,Research,North America,105389,3.34,44.3,1
2024,DeepL Write,E-commerce,Coding,South America,65134,2.23,25.7,4
2021,Perplexity AI,Healthcare,Meeting Notes,Europe,75723,3.48,42.5,5
2022,Pictory,Marketing,Research,Asia,44969,4.94,33.9,5
2024,Copy.ai,Finance,Design,South America,64226,3.53,16.0,2
2025,DALL-E,Marketing,Content Writing,Africa,67784,2.68,62.9,1
2024,DeepL Write,Education,Content Writing,Asia,81566,2.11,10.2,3
2022,Tabnine,Design,Meeting Notes,South America,79349,1.05,9.3,1
2021,Codeium,Healthcare,Presentations,Oceania,70899,3.85,34.1,5
2021,Pictory,E-commerce,Image Generation,Europe,98827,0.85,62.5,3
2021,Replit Ghostwriter,Healthcare,Content Writing,Africa,73135,1.78,58.6,3
2022,Gamma AI,Design,Data Analysis,Europe,117193,4.92,24.4,2
2024,Phind,Design,Image Generation,Oceania,93089,4.82,30.2,1
2023,Tabnine,Finance,Presentations,Africa,34873,2.84,16.8,3
2023,Runway ML,Software Development,Data Analysis,Europe,48196,2.9,38.9,2
2024,Phind,Design,Content Writing,North America,101141,2.37,25.2,3
2024,Runway ML,Software Development,Meeting Notes,Europe,97025,1.52,19.1,5
2021,Fireflies.ai,Finance,Image Generation,North America,76955,1.57,63.1,2
2022,Canva Magic Write,Finance,Research,South America,67837,2.92,27.8,4
2025,Claude,Media,Research,Asia,49817,2.39,43.7,2
2024,Claude,Media,Data Analysis,Europe,89177,2.6,30.9,5
2022,Claude,Education,Research,Africa,115028,3.22,19.5,2
2025,GitHub Copilot,Healthcare,Coding,Europe,140750,2.16,10.2,1
2025,Codeium,Education,Image Generation,Asia,161330,1.37,62.9,3
2025,Perplexity AI,Finance,Coding,Africa,36910,4.57,49.2,1
2023,Wordtune,Finance,Design,Oceania,114573,0.91,53.1,2
2022,Otter.ai,Education,Coding,North America,84939,0.89,53.3,2
2022,Wordtune,Healthcare,Image Generation,Africa,100647,4.74,16.5,5
2021,Adobe Firefly,Healthcare,Coding,South America,70911,2.47,63.9,2
2021,GrammarlyGO,Design,Data Analysis,Asia,115781,3.07,29.4,4
2025,Midjourney,Marketing,Research,Asia,80458,1.64,19.6,1
2025,Cursor AI,Healthcare,Image Generation,South America,64130,2.7,36.1,2
2021,Stable Diffusion,Education,Coding,Asia,123233,3.01,57.3,4
2023,Synthesia,Education,Coding,North America,80353,4.19,51.6,3
2023,QuillBot,E-commerce,Image Generation,Europe,90566,3.0,62.5,3
2025,Murf AI,Marketing,Content Writing,Africa,76079,4.31,33.0,1
